종목명,현재가,대비,대비(%),거래량,L(일봉)H,종목코드,거래량 (G),거래대금(만원) (H),매출액 영업이익률(%) (L),결산기준 (L),매출액 순이익률(%) (M),결산기준 (M),매출액(백만원) (A1),결산기준 (A1),매출액(백만원) (B1),결산기준 (B1),매출액(백만원) (C1),결산기준 (C1)
DL,"78,300","-2,000",-2.49,"341,200",-2.49,A000210,"341,200","2,665,082",11.65,Dec-19,7.32,Dec-19,"9,700,078",Dec-19,"10,984,485",Dec-18,"12,335,536",Dec-17
유유제약,"12,400",-250,-1.98,"33,195",-1.98,A000220,"33,195","41,476",8.89,Dec-19,6.12,Dec-19,"90,877",Dec-19,"83,096",Dec-18,"62,852",Dec-17
한국앤컴퍼니,"17,000",-300,-1.73,"350,644",-1.73,A000240,"350,644","590,353",20.16,Dec-19,19.26,Dec-19,"847,609",Dec-19,"847,957",Dec-18,"824,846",Dec-17
삼천당제약,"55,800","-3,200",-5.42,"821,467",-5.42,A000250,"821,467","4,551,879",13.51,Dec-19,10.5,Dec-19,"186,602",Dec-19,"159,960",Dec-18,"160,587",Dec-17
SK하이닉스,"140,000","-2,000",-1.41,"6,091,444",-1.41,A000660,"6,091,444","84,427,125",10.05,Dec-19,7.47,Dec-19,"26,990,733",Dec-19,"40,445,066",Dec-18,"30,109,434",Dec-17
DB하이텍,"53,600",-300,-0.56,"1,267,242",-0.56,A000990,"1,267,242","6,655,919",22.45,Dec-19,12.96,Dec-19,"807,416",Dec-19,"669,279",Dec-18,"679,737",Dec-17
백광산업,"3,700",50,1.37,"434,544",1.37,A001340,"434,544","156,690",12.59,Dec-19,9.52,Dec-19,"168,389",Dec-19,"175,487",Dec-18,"144,980",Dec-17
KG케미칼,"25,850",-600,-2.27,"247,946",-2.27,A001390,"247,946","636,125",5.7,Dec-19,10.6,Dec-19,"2,068,395",Dec-19,"1,282,776",Dec-18,"1,099,484",Dec-17
현대차증권,"12,200",-250,-2.01,"128,757",-2.01,A001500,"128,757","155,567",13.75,Dec-19,10.03,Dec-19,"716,183",Dec-19,"618,985",Dec-18,"521,345",Dec-17
한양증권,"10,250",-50,-0.49,"21,098",-0.49,A001750,"21,098","21,388",9.53,Dec-19,7.14,Dec-19,"310,407",Dec-19,"205,081",Dec-18,"170,617",Dec-17
오리온홀딩스,"13,950",-50,-0.36,"143,101",-0.36,A001800,"143,101","198,638",12.68,Dec-19,7.43,Dec-19,"2,103,591",Dec-19,"1,997,682",Dec-18,"112,748",Dec-17
삼화콘덴서,"68,200",-600,-0.87,"90,952",-0.87,A001820,"90,952","612,961",14.65,Dec-19,11.72,Dec-19,"254,537",Dec-19,"274,444",Dec-18,"199,316",Dec-17
대림건설,"29,500",-100,-0.34,"87,977",-0.34,A001880,"87,977","255,002",11.17,Dec-19,7.43,Dec-19,"1,279,913",Dec-19,"965,572",Dec-18,"858,626",Dec-17
아세아제지,"44,200",900,2.08,"83,115",2.08,A002310,"83,115","370,251",10.19,Dec-19,8.81,Dec-19,"697,656",Dec-19,"775,844",Dec-18,"728,592",Dec-17
넥센타이어,"7,950",-170,-2.09,"250,703",-2.09,A002350,"250,703","198,490",10.25,Dec-19,5.86,Dec-19,"2,022,338",Dec-19,"1,983,976",Dec-18,"1,964,792",Dec-17
한독,"27,100",-150,-0.55,"62,127",-0.55,A002390,"62,127","166,899",5.8,Dec-19,7.17,Dec-19,"473,000",Dec-19,"446,731",Dec-18,"417,970",Dec-17
신풍제지,"2,930",20,0.69,"897,103",0.69,A002870,"897,103","263,343",7.24,Dec-19,12.46,Dec-19,"156,878",Dec-19,"154,107",Dec-18,"144,277",Dec-17
대웅,"34,600","-1,100",-3.08,"336,904",-3.08,A003090,"336,904","1,161,258",7.87,Dec-19,5.22,Dec-19,"1,365,679",Dec-19,"1,231,290",Dec-18,"1,123,956",Dec-17
대원제약,"16,200",-400,-2.41,"95,798",-2.41,A003220,"95,798","155,328",11.05,Dec-19,8.46,Dec-19,"317,827",Dec-19,"286,652",Dec-18,"265,462",Dec-17
쌍용양회,"6,820",-10,-0.15,"1,483,012",-0.15,A003410,"1,483,012","1,004,532",14.85,Dec-19,8.55,Dec-19,"1,538,480",Dec-19,"1,509,985",Dec-18,"1,517,139",Dec-17
한화투자증권,"2,710",-40,-1.45,"1,458,403",-1.45,A003530,"1,458,403","391,079",7.12,Dec-19,6.26,Dec-19,"1,571,216",Dec-19,"1,901,879",Dec-18,"1,712,750",Dec-17
LG,"90,800","-1,200",-1.3,"387,743",-1.3,A003550,"387,743","3,510,704",15.57,Dec-19,16.82,Dec-19,"6,575,339",Dec-19,"7,743,355",Dec-18,"11,841,058",Dec-17
포스코케미칼,"161,000","2,000",1.26,"655,354",1.26,A003670,"655,354","10,393,297",6.05,Dec-19,6.82,Dec-19,"1,483,769",Dec-19,"1,383,593",Dec-18,"1,197,158",Dec-17
진양산업,"4,385",20,0.46,"798,915",0.46,A003780,"798,915","343,873",14.78,Dec-19,11.03,Dec-19,"61,838",Dec-19,"59,350",Dec-18,"44,821",Dec-17
보령제약,"20,600",400,1.98,"643,434",1.98,A003850,"643,434","1,303,869",7.45,Dec-19,6.15,Dec-19,"524,268",Dec-19,"460,401",Dec-18,"422,721",Dec-17
롯데정밀화학,"51,300",-500,-0.97,"68,955",-0.97,A004000,"68,955","351,226",14.46,Dec-19,12.84,Dec-19,"1,311,271",Dec-19,"1,371,695",Dec-18,"1,159,511",Dec-17
신세계,"294,500","2,500",0.86,"164,541",0.86,A004170,"164,541","4,809,188",7.32,Dec-19,9.28,Dec-19,"6,394,223",Dec-19,"5,185,683",Dec-18,"3,871,416",Dec-17
세방전지,"84,400","-1,000",-1.17,"189,553",-1.17,A004490,"189,553","1,569,675",9.28,Dec-19,6.89,Dec-19,"1,139,007",Dec-19,"1,180,886",Dec-18,"1,111,084",Dec-17
한국가구,"5,770",-180,-3.03,"367,860",-3.03,A004590,"367,860","215,049",13.24,Dec-19,9.24,Dec-19,"65,652",Dec-19,"60,244",Dec-18,"54,766",Dec-17
동진쎄미켐,"30,500",-100,-0.33,"373,628",-0.33,A005290,"373,628","1,122,070",11.98,Dec-19,6.71,Dec-19,"875,254",Dec-19,"827,231",Dec-18,"785,154",Dec-17
푸드웰,"7,090",50,0.71,"45,793",0.71,A005670,"45,793","31,989",5.96,Dec-19,22.22,Dec-19,"143,937",Dec-19,"123,789",Dec-18,"116,866",Dec-17
파미셀,"16,650",550,3.42,"2,017,022",3.42,A005690,"2,017,022","3,356,544",6.05,Dec-19,13.38,Dec-19,"32,481",Dec-19,"28,351",Dec-18,"25,197",Dec-17
대한해운,"3,440",160,4.88,"42,116,076",4.88,A005880,"42,116,076","14,651,091",12.81,Dec-19,10.05,Dec-19,"1,005,657",Dec-19,"1,284,595",Dec-18,"1,526,446",Dec-17
삼성전자,"82,100",-300,-0.36,"20,508,971",-0.36,A005930,"20,508,971","167,760,286",15.2,Dec-20,11.15,Dec-20,"236,806,988",Dec-20,"230,400,881",Dec-19,"243,771,415",Dec-18
화승인더,"8,090",20,0.25,"510,468",0.25,A006060,"510,468","407,476",7.96,Dec-19,5.67,Dec-19,"1,425,876",Dec-19,"1,111,909",Dec-18,"1,151,943",Dec-17
제주은행,"8,850",-160,-1.78,"21,042,475",-1.78,A006220,"21,042,475","20,096,062",15.47,Dec-19,11.61,Dec-19,"240,435",Dec-19,"224,542",Dec-18,"208,661",Dec-17
한일현대시멘트,"37,500",-400,-1.06,"39,091",-1.06,A006390,"39,091","144,489",9.17,Dec-19,10.76,Dec-19,"384,112",Dec-19,"339,613",Dec-18,"348,683",Dec-17
삼성SDI,"671,000","-7,000",-1.03,"430,233",-1.03,A006400,"430,233","28,629,183",5.94,Dec-20,5.59,Dec-20,"11,294,770",Dec-20,"10,097,426",Dec-19,"9,158,272",Dec-18
동구바이오제약,"11,400",-200,-1.72,"303,656",-1.72,A006620,"303,656","342,717",5.16,Dec-19,12.06,Dec-19,"125,235",Dec-19,"104,837",Dec-18,"101,124",Dec-17
대한유화,"351,500","5,500",1.59,"76,818",1.59,A006650,"76,818","2,698,119",9.03,Dec-20,6.76,Dec-20,"1,882,733",Dec-20,"2,074,296",Dec-19,"2,553,976",Dec-18
영풍제지,"7,690",,0,"1,792,280",0,A006740,"1,792,280","1,401,425",10.91,Dec-19,9.31,Dec-19,"99,673",Dec-19,"111,220",Dec-18,"105,060",Dec-17
푸른저축은행,"9,160",-140,-1.51,"167,170",-1.51,A007330,"167,170","156,029",46.05,Dec-19,35.26,Dec-19,"69,762",Dec-19,"69,198",Dec-18,"62,484",Dec-17
디티알오토모티브,"28,350",-200,-0.7,"20,125",-0.7,A007340,"20,125","56,767",8.63,Dec-19,7.34,Dec-19,"929,772",Dec-19,"908,521",Dec-18,"877,858",Dec-17
일양약품,"34,600",-400,-1.14,"1,471,418",-1.14,A007570,"1,471,418","5,124,450",10.02,Dec-19,6.04,Dec-19,"324,573",Dec-19,"300,036",Dec-18,"269,811",Dec-17
F&F,"138,000","-1,500",-1.08,"85,047",-1.08,A007700,"85,047","1,168,308",16.56,Dec-19,12.08,Dec-19,"910,336",Dec-19,"668,349",Dec-18,"560,518",Dec-17
서흥,"50,700",,0,"27,662",0,A008490,"27,662","138,328",10.28,Dec-19,8.11,Dec-19,"460,728",Dec-19,"393,476",Dec-18,"350,007",Dec-17
삼성전기,"195,000",500,0.26,"510,528",0.26,A009150,"510,528","9,881,030",10.1,Dec-20,7.6,Dec-20,"8,208,738",Dec-20,"7,718,297",Dec-19,"8,002,008",Dec-18
한올바이오파마,"22,100",-150,-0.67,"299,846",-0.67,A009420,"299,846","651,507",15.76,Dec-19,17.68,Dec-19,"108,452",Dec-19,"91,839",Dec-18,"84,230",Dec-17
엠에스씨,"4,860",-50,-1.02,"30,823",-1.02,A009780,"30,823","14,899",9.84,Dec-19,7.88,Dec-19,"149,239",Dec-19,"144,605",Dec-18,"141,954",Dec-17
영원무역홀딩스,"41,550",-100,-0.24,"17,185",-0.24,A009970,"26,199","71,154",10.92,Dec-19,8.32,Dec-19,"2,737,959",Dec-19,"2,518,695",Dec-18,"2,384,765",Dec-17
우리종금,660,4,0.61,"7,000,357",0.61,A010050,"7,000,357","461,273",26.27,Dec-19,26.02,Dec-19,"205,090",Dec-19,"205,445",Dec-18,"183,478",Dec-17
고려아연,"407,000","-1,000",-0.25,"42,589",-0.25,A010130,"42,589","1,724,781",12.03,Dec-19,9.53,Dec-19,"6,694,810",Dec-19,"6,883,323",Dec-18,"6,596,671",Dec-17
흥국,"8,890","1,140",14.71,"4,548,871",14.71,A010240,"4,548,871","3,957,484",8.51,Dec-19,6.7,Dec-19,"104,480",Dec-19,"118,012",Dec-18,"91,625",Dec-17
진양폴리,"3,300",-5,-0.15,"90,525",-0.15,A010640,"90,525","29,569",8.84,Dec-19,21.51,Dec-19,"35,112",Dec-19,"30,104",Dec-18,"23,646",Dec-17
아이에스동서,"54,000",-700,-1.28,"66,868",-1.28,A010780,"66,868","358,161",6.87,Dec-19,7.7,Dec-19,"964,111",Dec-19,"1,596,847",Dec-18,"1,832,961",Dec-17
경동제약,"9,670",60,0.62,"46,731",0.62,A011040,"46,731","44,717",13.91,Dec-19,12.94,Dec-19,"176,500",Dec-19,"179,316",Dec-18,"177,772",Dec-17
롯데케미칼,"322,000","1,000",0.31,"275,487",0.31,A011170,"275,487","8,803,751",7.32,Dec-19,5,Dec-19,"15,123,477",Dec-19,"16,073,061",Dec-18,"15,874,510",Dec-17
유니켐,"1,490",10,0.68,"578,594",0.68,A011330,"578,594","84,810",16.48,Dec-19,14.88,Dec-19,"108,791",Dec-19,"83,645",Dec-18,"66,051",Dec-17
금호석유,"234,000","3,500",1.52,"639,730",1.52,A011780,"639,730","14,945,845",7.39,Dec-19,5.92,Dec-19,"4,977,931",Dec-19,"5,584,910",Dec-18,"5,064,779",Dec-17
현대모비스,"305,000","-5,500",-1.77,"425,644",-1.77,A012330,"425,644","12,944,964",6.2,Dec-19,6.03,Dec-19,"38,048,768",Dec-19,"35,149,219",Dec-18,"35,144,580",Dec-17
더존비즈온,"104,500","-1,000",-0.95,"86,028",-0.95,A012510,"86,028","892,113",25.43,Dec-19,19.43,Dec-19,"262,663",Dec-19,"226,933",Dec-18,"204,443",Dec-17
HDC,"10,850",-100,-0.91,"238,040",-0.91,A012630,"238,040","256,622",7.92,Dec-19,17.02,Dec-19,"1,616,692",Dec-19,"1,547,840",Dec-18,"1,521,022",Dec-17
리드코프,"6,810",110,1.64,"256,483",1.64,A012700,"256,483","173,419",10.88,Dec-19,8.19,Dec-19,"495,358",Dec-19,"463,601",Dec-18,"442,470",Dec-17
에스원,"82,600",-500,-0.6,"39,056",-0.6,A012750,"39,056","321,769",9.15,Dec-19,6.82,Dec-19,"2,151,521",Dec-19,"2,018,339",Dec-18,"1,942,266",Dec-17
신일제약,"13,550",-300,-2.17,"81,496",-2.17,A012790,"81,496","110,564",15.52,Dec-19,11.97,Dec-19,"60,648",Dec-19,"53,276",Dec-18,"50,941",Dec-17
하이록코리아,"14,800",-150,-1,"108,848",-1,A013030,"108,848","158,043",10.5,Dec-19,9.57,Dec-19,"142,113",Dec-19,"124,267",Dec-18,"182,699",Dec-17
동원개발,"5,110",-70,-1.35,"226,570",-1.35,A013120,"226,570","115,228",16.51,Dec-19,13.18,Dec-19,"642,628",Dec-19,"607,890",Dec-18,"563,013",Dec-17
스페코,"9,000",-120,-1.32,"350,718",-1.32,A013810,"350,718","311,824",8.88,Dec-19,13.19,Dec-19,"74,708",Dec-19,"53,187",Dec-18,"68,786",Dec-17
지누스,"92,000",-600,-0.65,"64,768",-0.65,A013890,"64,768","594,504",12.71,Dec-19,8.86,Dec-19,"817,137",Dec-19,"621,764",Dec-18,"602,754",Dec-17
고려제약,"10,050",-50,-0.5,"41,561",-0.5,A014570,"41,561","41,576",6.15,Dec-19,7.01,Dec-19,"55,529",Dec-19,"52,027",Dec-18,"55,402",Dec-17
한솔케미칼,"234,500",500,0.21,"74,059",0.21,A014680,"74,059","1,721,508",18.96,Dec-19,15.49,Dec-19,"587,561",Dec-19,"581,947",Dec-18,"521,574",Dec-17
유니드,"63,000",-400,-0.63,"16,165",-0.63,A014830,"28,254","100,311",9.68,Dec-19,7.71,Dec-19,"875,163",Dec-19,"814,007",Dec-18,"762,387",Dec-17
대창단조,"6,540",40,0.62,"31,992",0.62,A015230,"31,992","20,843",6.74,Dec-19,5.63,Dec-19,"277,253",Dec-19,"320,500",Dec-18,"257,646",Dec-17
코콤,"7,110",-40,-0.56,"61,223",-0.56,A015710,"61,223","43,092",9.96,Dec-19,6.14,Dec-19,"133,903",Dec-19,"163,612",Dec-18,"143,089",Dec-17
대현,"2,070",-40,-1.9,"179,971",-1.9,A016090,"179,971","37,029",6.76,Dec-19,5.55,Dec-19,"299,583",Dec-19,"286,316",Dec-18,"283,694",Dec-17
삼성증권,"37,700",-650,-1.69,"419,248",-1.69,A016360,"419,248","1,575,037",7.78,Dec-19,5.89,Dec-19,"6,656,151",Dec-19,"4,890,202",Dec-18,"4,485,462",Dec-17
환인제약,"19,400",200,1.04,"113,075",1.04,A016580,"113,075","215,725",16.44,Dec-19,11.69,Dec-19,"159,176",Dec-19,"154,664",Dec-18,"147,953",Dec-17
큐캐피탈,601,-5,-0.83,"5,068,847",-0.83,A016600,"5,068,847","302,193",6.21,Dec-19,20.68,Dec-19,"24,621",Dec-19,"10,086",Dec-18,"28,104",Dec-17
DB금융투자,"5,800",-50,-0.85,"96,254",-0.85,A016610,"96,254","55,567",8.81,Dec-19,5.89,Dec-19,"991,957",Dec-19,"848,711",Dec-18,"909,892",Dec-17
광명전기,"2,555",35,1.39,"2,527,905",1.39,A017040,"2,527,905","643,428",6.05,Dec-19,5.4,Dec-19,"131,864",Dec-19,"112,564",Dec-18,"101,561",Dec-17
세명전기,"4,200",-60,-1.41,"98,228",-1.41,A017510,"98,228","40,948",9.05,Dec-19,18.54,Dec-19,"18,453",Dec-19,"19,017",Dec-18,"20,871",Dec-17
한국알콜,"12,900",-400,-3.01,"292,783",-3.01,A017890,"292,783","379,485",11.36,Dec-19,11,Dec-19,"291,435",Dec-19,"255,981",Dec-18,"212,403",Dec-17
한국카본,"11,100",-350,-3.06,"781,280",-3.06,A017960,"781,280","867,657",9.25,Dec-19,6.47,Dec-19,"273,402",Dec-19,"226,695",Dec-18,"239,057",Dec-17
애경산업,"25,600",-350,-1.35,"70,861",-1.35,A018250,"70,861","180,685",8.64,Dec-19,5.94,Dec-19,"701,336",Dec-19,"699,584",Dec-18,"628,921",Dec-17
삼성에스디에스,"187,500","-1,500",-0.79,"153,308",-0.79,A018260,"153,308","2,855,946",9.24,Dec-19,7,Dec-19,"10,719,631",Dec-19,"10,034,218",Dec-18,"9,299,206",Dec-17
삼목에스폼,"9,930",-220,-2.17,"45,498",-2.17,A018310,"45,498","45,234",7.88,Dec-19,9.5,Dec-19,"144,218",Dec-19,"188,934",Dec-18,"253,952",Dec-17
SBI인베스트먼트,"1,350",,0,"13,888,429",0,A019550,"13,888,429","1,925,759",48.6,Dec-19,48.49,Dec-19,"23,560",Dec-19,"16,855",Dec-18,"18,192",Dec-17
한섬,"38,000",-900,-2.31,"116,292",-2.31,A020000,"116,292","439,422",8.46,Dec-19,6.77,Dec-19,"1,259,801",Dec-19,"1,299,209",Dec-18,"1,228,675",Dec-17
일진머티리얼즈,"67,300",300,0.45,"516,223",0.45,A020150,"516,223","3,385,761",8.51,Dec-19,8.51,Dec-19,"550,214",Dec-19,"502,007",Dec-18,"454,035",Dec-17
시공테크,"5,470",-30,-0.55,"48,539",-0.55,A020710,"48,539","26,365",6.69,Dec-19,12.81,Dec-19,"119,772",Dec-19,"72,957",Dec-18,"173,114",Dec-17
에이티넘인베스트,"2,355",-40,-1.67,"422,376",-1.67,A021080,"422,376","98,845",39.78,Dec-19,31.47,Dec-19,"21,441",Dec-19,"17,116",Dec-18,"25,126",Dec-17
코웨이,"64,600",-700,-1.07,"268,508",-1.07,A021240,"268,508","1,735,708",15.18,Dec-19,11,Dec-19,"3,018,912",Dec-19,"2,707,315",Dec-18,"2,516,772",Dec-17
정산애강,"1,970",-20,-1.01,"204,431",-1.01,A022220,"204,431","40,121",14.31,Dec-19,16.14,Dec-19,"71,371",Dec-19,"64,950",Dec-18,"78,234",Dec-17
다우기술,"26,150",-50,-0.19,"236,721",-0.19,A023590,"236,721","609,810",15.64,Dec-19,12.2,Dec-19,"3,245,501",Dec-19,"2,347,029",Dec-18,"1,372,802",Dec-17
삼보판지,"12,250",200,1.66,"120,876",1.66,A023600,"120,876","145,187",12.44,Dec-19,8.75,Dec-19,"367,007",Dec-19,"376,196",Dec-18,"323,858",Dec-17
한국캐피탈,594,,0,"148,637",0,A023760,"148,637","10,700",15.18,Dec-19,11.88,Dec-19,"177,052",Dec-19,"140,675",Dec-18,"92,437",Dec-17
플레이위드,"8,810",-50,-0.56,"51,406",-0.56,A023770,"51,406","44,939",24.25,Dec-19,16.2,Dec-19,"56,031",Dec-19,"11,815",Dec-18,"11,924",Dec-17
풍국주정,"19,950",,0,"34,412",0,A023900,"34,412","68,154",8.67,Dec-19,7.5,Dec-19,"121,430",Dec-19,"120,452",Dec-18,"107,554",Dec-17
대한약품,"34,600",850,2.52,"63,661",2.52,A023910,"63,661","215,833",19.93,Dec-19,16.69,Dec-19,"168,761",Dec-19,"158,720",Dec-18,"144,439",Dec-17
기업은행,"8,650",70,0.82,"3,800,549",0.82,A024110,"3,800,549","3,295,999",13.15,Dec-19,9.53,Dec-19,"16,938,235",Dec-19,"15,527,878",Dec-18,"16,783,992",Dec-17
KB오토시스,"10,250",150,1.49,"493,169",1.49,A024120,"493,169","503,511",8.58,Dec-19,7.23,Dec-19,"147,791",Dec-19,"151,863",Dec-18,"164,260",Dec-17
한국콜마홀딩스,"28,100",-100,-0.35,"50,683",-0.35,A024720,"50,683","140,560",15.67,Dec-19,12.17,Dec-19,"593,433",Dec-19,"561,696",Dec-18,"408,327",Dec-17
동화기업,"47,800",-450,-0.93,"82,231",-0.93,A025900,"82,231","383,707",8.15,Dec-19,6.05,Dec-19,"717,405",Dec-19,"759,970",Dec-18,"702,053",Dec-17
디피씨,"11,100",-250,-2.2,"840,822",-2.2,A026890,"840,822","933,518",8.48,Dec-19,6.71,Dec-19,"165,392",Dec-19,"157,686",Dec-18,"154,801",Dec-17
동서,"33,550","-7,100",-17.47,"2,281,358",-17.47,A026960,"2,281,358","7,895,077",7.66,Dec-19,27.98,Dec-19,"502,235",Dec-19,"563,524",Dec-18,"559,080",Dec-17
아주IB투자,"4,075",30,0.74,"7,893,670",0.74,A027360,"7,893,670","3,311,574",33.88,Dec-19,25.43,Dec-19,"64,059",Dec-19,"72,824",Dec-18,"69,731",Dec-17
BGF,"5,900",110,1.9,"628,775",1.9,A027410,"628,775","368,846",12.23,Dec-19,7.29,Dec-19,"240,314",Dec-19,"220,593",Dec-18,"124,346",Dec-17
세하,"1,750",30,1.74,"351,784",1.74,A027970,"351,784","60,229",7.94,Dec-19,6.32,Dec-19,"177,653",Dec-19,"177,242",Dec-18,"164,484",Dec-17
동아지질,"16,100",-350,-2.13,"79,409",-2.13,A028100,"79,409","127,779",6.01,Dec-19,5,Dec-19,"380,903",Dec-19,"360,734",Dec-18,"339,724",Dec-17
팬오션,"6,430",560,9.54,"82,365,221",9.54,A028670,"82,365,221","54,597,122",8.51,Dec-19,5.99,Dec-19,"2,467,891",Dec-19,"2,668,353",Dec-18,"2,336,240",Dec-17
케이씨,"27,100",-900,-3.21,"109,905",-3.21,A029460,"109,905","296,763",12.76,Dec-19,11.14,Dec-19,"511,909",Dec-19,"526,071",Dec-18,"572,952",Dec-17
삼성카드,"32,600",-200,-0.61,"107,521",-0.61,A029780,"107,521","348,848",13.65,Dec-19,10.45,Dec-19,"3,293,359",Dec-19,"3,354,199",Dec-18,"3,899,957",Dec-17
코엔텍,"8,670",-20,-0.23,"131,779",-0.23,A029960,"131,779","114,050",40,Dec-19,33.93,Dec-19,"71,114",Dec-19,"72,239",Dec-18,"53,606",Dec-17
NICE평가정보,"22,900",-100,-0.43,"210,855",-0.43,A030190,"210,855","479,012",12.49,Dec-19,9.92,Dec-19,"410,914",Dec-19,"383,774",Dec-18,"360,404",Dec-17
KTB투자증권,"4,275",-95,-2.17,"340,546",-2.17,A030210,"340,546","144,448",9.85,Dec-19,13.18,Dec-19,"381,169",Dec-19,"358,697",Dec-18,"334,218",Dec-17
한글과컴퓨터,"17,350",-300,-1.7,"107,595",-1.7,A030520,"107,595","186,426",10.4,Dec-19,6.93,Dec-19,"319,255",Dec-19,"212,857",Dec-18,"121,181",Dec-17
원익홀딩스,"6,280",-70,-1.1,"422,104",-1.1,A030530,"422,104","262,024",13.68,Dec-19,10.86,Dec-19,"450,752",Dec-19,"500,162",Dec-18,"481,986",Dec-17
교보증권,"7,350",40,0.55,"43,564",0.55,A030610,"43,564","31,806",7.6,Dec-19,5.75,Dec-19,"1,452,089",Dec-19,"1,250,106",Dec-18,"1,086,012",Dec-17
녹십자셀,"41,950",350,0.84,"95,965",0.84,A031390,"95,965","402,710",15.02,Dec-19,29.17,Dec-19,"37,903",Dec-19,"29,606",Dec-18,"19,536",Dec-17
신세계인터내셔날,"204,000","1,500",0.74,"80,479",0.74,A031430,"80,479","1,629,660",5.93,Dec-19,5.19,Dec-19,"1,425,001",Dec-19,"1,262,650",Dec-18,"1,102,544",Dec-17
아즈텍WB,"2,600",120,4.84,"1,261,656",4.84,A032080,"1,261,656","325,723",6.56,Dec-19,10.69,Dec-19,"44,574",Dec-19,"47,006",Dec-18,"34,436",Dec-17
다우데이타,"12,900",,0,"173,436",0,A032190,"173,436","220,376",15.5,Dec-19,11.34,Dec-19,"3,605,644",Dec-19,"2,669,931",Dec-18,"1,654,276",Dec-17
케이엠더블유,"59,700","3,200",5.66,"1,180,454",5.66,A032500,"1,180,454","6,928,532",20.02,Dec-19,15.03,Dec-19,"682,876",Dec-19,"296,267",Dec-18,"203,720",Dec-17
황금에스티,"9,430",220,2.39,"670,766",2.39,A032560,"670,766","620,948",7.71,Dec-19,12.56,Dec-19,"243,584",Dec-19,"244,773",Dec-18,"224,729",Dec-17
